Temps: 164s | Batterie: 0.60J | Paquets en attente: 5
Temps: 165s | Batterie: 0.60J | Paquets en attente: 5
Temps: 166s | Batterie: 0.60J | Paquets en attente: 5
Temps: 167s | Batterie: 0.60J | Paquets en attente: 5
Temps: 168s | Batterie: 0.60J | Paquets en attente: 5
Temps: 169s | Batterie: 0.60J | Paquets en attente: 5
Temps: 170s | Batterie: 0.60J | Paquets en attente: 5
Temps: 171s | Batterie: 0.60J | Paquets en attente: 5
Temps: 172s | Batterie: 0.60J | Paquets en attente: 5
Temps: 173s | Batterie: 0.60J | Paquets en attente: 5
Temps: 174s | Batterie: 0.60J | Paquets en attente: 5
Temps: 175s | Batterie: 0.60J | Paquets en attente: 5
Temps: 176s | Batterie: 0.60J | Paquets en attente: 5
Temps: 177s | Batterie: 0.60J | Paquets en attente: 5
Temps: 178s | Batterie: 0.60J | Paquets en attente: 5
Temps: 179s | Batterie: 0.60J | Paquets en attente: 5
Temps: 180s | Batterie: 0.60J | Paquets en attente: 5
Temps: 181s | Batterie: 0.60J | Paquets en attente: 5
Temps: 182s | Batterie: 0.60J | Paquets en attente: 5
Temps: 183s | Batterie: 0.60J | Paquets en attente: 5
Temps: 184s | Batterie: 0.60J | Paquets en attente: 5
Temps: 185s | Batterie: 0.60J | Paquets en attente: 5
Temps: 186s | Batterie: 0.60J | Paquets en attente: 5
Temps: 187s | Batterie: 0.60J | Paquets en attente: 5
Temps: 188s | Batterie: 0.60J | Paquets en attente: 5
Temps: 189s | Batterie: 0.60J | Paquets en attente: 5
Temps: 190s | Batterie: 0.60J | Paquets en attente: 5
Temps: 191s | Batterie: 0.60J | Paquets en attente: 5
Temps: 192s | Batterie: 0.60J | Paquets en attente: 5
Temps: 193s | Batterie: 0.60J | Paquets en attente: 5
Temps: 194s | Batterie: 0.60J | Paquets en attente: 5
Temps: 195s | Batterie: 0.60J | Paquets en attente: 5
Temps: 196s | Batterie: 0.60J | Paquets en attente: 5
Temps: 197s | Batterie: 0.60J | Paquets en attente: 5
Temps: 198s | Batterie: 0.60J | Paquets en attente: 5
Temps: 199s | Batterie: 0.60J | Paquets en attente: 5
Temps: 200s | Batterie: 0.60J | Paquets en attente: 5
Temps: 201s | Batterie: 0.60J | Paquets en attente: 5
Temps: 202s | Batterie: 0.60J | Paquets en attente: 5
Temps: 203s | Batterie: 0.60J | Paquets en attente: 5
Temps: 204s | Batterie: 0.60J | Paquets en attente: 5
Temps: 205s | Batterie: 0.60J | Paquets en attente: 5
Temps: 206s | Batterie: 0.60J | Paquets en attente: 5
Temps: 207s | Batterie: 0.60J | Paquets en attente: 5
Temps: 208s | Batterie: 0.60J | Paquets en attente: 5
Temps: 209s | Batterie: 0.60J | Paquets en attente: 5
Temps: 210s | Batterie: 0.60J | Paquets en attente: 5
Temps: 211s | Batterie: 0.60J | Paquets en attente: 5
Temps: 212s | Batterie: 0.60J | Paquets en attente: 5
Temps: 213s | Batterie: 0.60J | Paquets en attente: 5
Temps: 214s | Batterie: 0.60J | Paquets en attente: 5
Temps: 215s | Batterie: 0.60J | Paquets en attente: 5
Temps: 216s | Batterie: 0.60J | Paquets en attente: 5
Temps: 217s | Batterie: 0.60J | Paquets en attente: 5
Temps: 218s | Batterie: 0.60J | Paquets en attente: 5
Temps: 219s | Batterie: 0.60J | Paquets en attente: 5
Temps: 220s | Batterie: 0.60J | Paquets en attente: 5
Temps: 221s | Batterie: 0.60J | Paquets en attente: 5
Temps: 222s | Batterie: 0.60J | Paquets en attente: 5
Temps: 223s | Batterie: 0.60J | Paquets en attente: 5
Temps: 224s | Batterie: 0.60J | Paquets en attente: 5
Temps: 225s | Batterie: 0.60J | Paquets en attente: 5
Temps: 226s | Batterie: 0.60J | Paquets en attente: 5
Temps: 227s | Batterie: 0.60J | Paquets en attente: 5
Temps: 228s | Batterie: 0.60J | Paquets en attente: 5
Temps: 229s | Batterie: 0.60J | Paquets en attente: 5
Temps: 230s | Batterie: 0.60J | Paquets en attente: 5
Temps: 231s | Batterie: 0.60J | Paquets en attente: 5
Temps: 232s | Batterie: 0.60J | Paquets en attente: 5
Temps: 233s | Batterie: 0.60J | Paquets en attente: 5
Temps: 234s | Batterie: 0.60J | Paquets en attente: 5
Temps: 235s | Batterie: 0.60J | Paquets en attente: 5
Temps: 236s | Batterie: 0.60J | Paquets en attente: 5
Temps: 237s | Batterie: 0.60J | Paquets en attente: 5
Temps: 238s | Batterie: 0.60J | Paquets en attente: 5
Temps: 239s | Batterie: 0.60J | Paquets en attente: 5
Temps: 240s | Batterie: 0.60J | Paquets en attente: 5
Temps: 241s | Batterie: 0.60J | Paquets en attente: 5
Temps: 242s | Batterie: 0.60J | Paquets en attente: 5
Temps: 243s | Batterie: 0.60J | Paquets en attente: 5
Temps: 244s | Batterie: 0.60J | Paquets en attente: 5
Temps: 245s | Batterie: 0.60J | Paquets en attente: 5
Temps: 246s | Batterie: 0.60J | Paquets en attente: 5
Temps: 247s | Batterie: 0.60J | Paquets en attente: 5
Temps: 248s | Batterie: 0.60J | Paquets en attente: 5
Temps: 249s | Batterie: 0.60J | Paquets en attente: 5
Temps: 250s | Batterie: 0.60J | Paquets en attente: 5
Temps: 251s | Batterie: 0.60J | Paquets en attente: 5
Temps: 252s | Batterie: 0.60J | Paquets en attente: 5
Temps: 253s | Batterie: 0.60J | Paquets en attente: 5
Temps: 254s | Batterie: 0.60J | Paquets en attente: 5
Temps: 255s | Batterie: 0.60J | Paquets en attente: 5
Temps: 256s | Batterie: 0.60J | Paquets en attente: 5
Temps: 257s | Batterie: 0.60J | Paquets en attente: 5
Temps: 258s | Batterie: 0.60J | Paquets en attente: 5
Temps: 259s | Batterie: 0.60J | Paquets en attente: 5
Temps: 260s | Batterie: 0.60J | Paquets en attente: 5
Temps: 261s | Batterie: 0.60J | Paquets en attente: 5
Temps: 262s | Batterie: 0.60J | Paquets en attente: 5
Temps: 263s | Batterie: 0.60J | Paquets en attente: 5
Temps: 264s | Batterie: 0.60J | Paquets en attente: 5
Temps: 265s | Batterie: 0.60J | Paquets en attente: 5
Temps: 266s | Batterie: 0.60J | Paquets en attente: 5
Temps: 267s | Batterie: 0.60J | Paquets en attente: 5
Temps: 268s | Batterie: 0.60J | Paquets en attente: 5
Temps: 269s | Batterie: 0.60J | Paquets en attente: 5
Temps: 270s | Batterie: 0.60J | Paquets en attente: 5
Temps: 271s | Batterie: 0.60J | Paquets en attente: 5
Temps: 272s | Batterie: 0.60J | Paquets en attente: 5
Temps: 273s | Batterie: 0.60J | Paquets en attente: 5
Temps: 274s | Batterie: 0.60J | Paquets en attente: 5
Temps: 275s | Batterie: 0.60J | Paquets en attente: 5
Temps: 276s | Batterie: 0.60J | Paquets en attente: 5
Temps: 277s | Batterie: 0.60J | Paquets en attente: 5
Temps: 278s | Batterie: 0.60J | Paquets en attente: 5
Temps: 279s | Batterie: 0.60J | Paquets en attente: 5
Temps: 280s | Batterie: 0.60J | Paquets en attente: 5
Temps: 281s | Batterie: 0.60J | Paquets en attente: 5
Temps: 282s | Batterie: 0.60J | Paquets en attente: 5
Temps: 283s | Batterie: 0.60J | Paquets en attente: 5
Temps: 284s | Batterie: 0.60J | Paquets en attente: 5
Temps: 285s | Batterie: 0.60J | Paquets en attente: 5
Temps: 286s | Batterie: 0.60J | Paquets en attente: 5
Temps: 287s | Batterie: 0.60J | Paquets en attente: 5
Temps: 288s | Batterie: 0.60J | Paquets en attente: 5
Temps: 289s | Batterie: 0.60J | Paquets en attente: 5
Temps: 290s | Batterie: 0.60J | Paquets en attente: 5
Temps: 291s | Batterie: 0.60J | Paquets en attente: 5
Temps: 292s | Batterie: 0.60J | Paquets en attente: 5
Temps: 293s | Batterie: 0.60J | Paquets en attente: 5
Temps: 294s | Batterie: 0.60J | Paquets en attente: 5
Temps: 295s | Batterie: 0.60J | Paquets en attente: 5
Temps: 296s | Batterie: 0.60J | Paquets en attente: 5
Temps: 297s | Batterie: 0.60J | Paquets en attente: 5
Temps: 298s | Batterie: 0.60J | Paquets en attente: 5
Temps: 299s | Batterie: 0.60J | Paquets en attente: 5
Temps: 300s | Batterie: 0.60J | Paquets en attente: 5
Temps: 301s | Batterie: 0.60J | Paquets en attente: 5
Temps: 302s | Batterie: 0.60J | Paquets en attente: 5
Temps: 303s | Batterie: 0.60J | Paquets en attente: 5
Temps: 304s | Batterie: 0.60J | Paquets en attente: 5
Temps: 305s | Batterie: 0.60J | Paquets en attente: 5
Temps: 306s | Batterie: 0.60J | Paquets en attente: 5
Temps: 307s | Batterie: 0.60J | Paquets en attente: 5
Temps: 308s | Batterie: 0.60J | Paquets en attente: 5
Temps: 309s | Batterie: 0.60J | Paquets en attente: 5
Temps: 310s | Batterie: 0.60J | Paquets en attente: 5
Temps: 311s | Batterie: 0.60J | Paquets en attente: 5
Temps: 312s | Batterie: 0.60J | Paquets en attente: 5
Temps: 313s | Batterie: 0.60J | Paquets en attente: 5
Temps: 314s | Batterie: 0.60J | Paquets en attente: 5
Temps: 315s | Batterie: 0.60J | Paquets en attente: 5
Temps: 316s | Batterie: 0.60J | Paquets en attente: 5
Temps: 317s | Batterie: 0.60J | Paquets en attente: 5
Temps: 318s | Batterie: 0.60J | Paquets en attente: 5
Temps: 319s | Batterie: 0.60J | Paquets en attente: 5
Temps: 320s | Batterie: 0.60J | Paquets en attente: 5
Temps: 321s | Batterie: 0.60J | Paquets en attente: 5
Temps: 322s | Batterie: 0.60J | Paquets en attente: 5
Temps: 323s | Batterie: 0.60J | Paquets en attente: 5
Temps: 324s | Batterie: 0.60J | Paquets en attente: 5
Temps: 325s | Batterie: 0.60J | Paquets en attente: 5
Temps: 326s | Batterie: 0.60J | Paquets en attente: 5
Temps: 327s | Batterie: 0.60J | Paquets en attente: 5
